fips,county,state,lat,lon,entity_count,total_acres,r1_covered,r1_nearest_site,r1_nearest_dist,r1_covering_site,r1_covering_dist,r1_covering_threshold,r2_covered,r2_nearest_site,r2_nearest_dist,r2_covering_site,r2_covering_dist,r2_covering_threshold,r3_covered,r3_nearest_site,r3_nearest_dist,r3_covering_site,r3_covering_dist,r3_covering_threshold,r4_covered,r4_nearest_site,r4_nearest_dist,r4_covering_site,r4_covering_dist,r4_covering_threshold
20167,Russell,Kansas,38.9149,-98.7623,1,0.5,N,N/A,N/A,,,,N,Fort Riley,105.9,,,,N,Fort Riley,105.9,,,,N,Fort Riley,105.9,,,
21031,Butler,Kentucky,37.2074,-86.6816,1,70.0,N,N/A,N/A,,,,N,Fort Knox,65.2,,,,N,Fort Knox,65.2,,,,N,Fort Knox,65.2,,,
21091,Hancock,Kentucky,37.8415,-86.778,1,40.0,N,N/A,N/A,,,,N,Fort Knox,49.0,,,,N,Fort Knox,49.0,,,,N,Fort Knox,49.0,,,
24025,Harford,Maryland,39.5818,-76.1813,2,237.7,N,N/A,N/A,,,,Y,Aberdeen Proving Ground,17.0,Aberdeen Proving Ground,17.0,100,Y,Aberdeen Proving Ground,17.0,Aberdeen Proving Ground,17.0,100,Y,Aberdeen Proving Ground,17.0,Aberdeen Proving Ground,17.0,100
27027,Clay,Minnesota,46.8924,-96.4906,1,31.0,N,N/A,N/A,,,,N,Cavalier Space Force Station,142.6,,,,Y,Grand Forks Air Force Base,84.6,Grand Forks Air Force Base,84.6,100,Y,Grand Forks Air Force Base,84.6,Grand Forks Air Force Base,84.6,100
27049,Goodhue,Minnesota,44.4099,-92.7225,1,411.0,N,N/A,N/A,,,,N,Hardwood Range,132.5,,,,N,Hardwood Range,132.5,,,,N,Hardwood Range,132.5,,,
29061,Daviess,Missouri,39.9607,-93.9855,1,2805.8,N,N/A,N/A,,,,N,Fort Leavenworth,64.5,,,,N,Fort Leavenworth,64.5,,,,Y,Fort Leavenworth,64.5,Whiteman Air Force Base,88.2,100
29075,Gentry,Missouri,40.2121,-94.4099,1,3981.4,N,N/A,N/A,,,,N,Fort Leavenworth,64.5,,,,N,Fort Leavenworth,64.5,,,,N,Fort Leavenworth,64.5,,,
29079,Grundy,Missouri,40.114,-93.5653,1,225.3,N,N/A,N/A,,,,N,Fort Leavenworth,88.6,,,,N,Fort Leavenworth,88.6,,,,Y,Lake City Army Ammunition Plant,85.3,Whiteman Air Force Base,95.7,100
29081,Harrison,Missouri,40.3547,-93.9921,1,80.0,N,N/A,N/A,,,,N,Fort Leavenworth,84.3,,,,N,Fort Leavenworth,84.3,,,,Y,Fort Leavenworth,84.3,Camp Dodge,96.9,100
29115,Linn,Missouri,39.8702,-93.1072,1,25.0,N,N/A,N/A,,,,N,Fort Leavenworth,102.5,,,,N,Fort Leavenworth,102.5,,,,Y,Whiteman Air Force Base,82.3,Whiteman Air Force Base,82.3,100
29129,Mercer,Missouri,40.4223,-93.5685,1,13946.0,N,N/A,N/A,,,,N,Fort Leavenworth,102.3,,,,N,Fort Leavenworth,102.3,,,,Y,Camp Dodge,91.5,Camp Dodge,91.5,100
29171,Putnam,Missouri,40.4789,-93.0161,1,8369.5,N,N/A,N/A,,,,N,Fort Leavenworth,126.9,,,,N,Fort Leavenworth,126.9,,,,Y,Camp Dodge,94.5,Camp Dodge,94.5,100
29211,Sullivan,Missouri,40.2107,-93.1115,1,13471.6,N,N/A,N/A,,,,N,Fort Leavenworth,112.4,,,,N,Fort Leavenworth,112.4,,,,N,Lake City Army Ammunition Plant,104.8,,,
34019,Hunterdon,New Jersey,40.5672,-74.9123,1,20.0,N,N/A,N/A,,,,N,Picatinny Arsenal,33.0,,,,N,Picatinny Arsenal,33.0,,,,N,Picatinny Arsenal,33.0,,,
37007,Anson,North Carolina,34.9738,-80.1027,1,616.6,N,N/A,N/A,,,,Y,Camp Mackall,35.4,Fort Liberty,55.2,100,Y,Camp Mackall,35.4,Fort Liberty,55.2,100,Y,Camp Mackall,35.4,Fort Liberty,55.2,100
37015,Bertie,North Carolina,36.0662,-76.9791,1,420.4,N,N/A,N/A,,,,Y,Portsmouth Naval Shipyard,65.5,Dare County Range,66.2,100,Y,Portsmouth Naval Shipyard,65.5,Dare County Range,66.2,100,Y,Portsmouth Naval Shipyard,65.5,Dare County Range,66.2,100
37017,Bladen,North Carolina,34.6143,-78.5632,3,9831.2,N,N/A,N/A,,,,Y,Fort Liberty,47.3,Fort Liberty,47.3,100,Y,Fort Liberty,47.3,Fort Liberty,47.3,100,Y,Fort Liberty,47.3,Fort Liberty,47.3,100
37037,Chatham,North Carolina,35.7027,-79.2553,1,12.6,N,N/A,N/A,,,,Y,Fort Liberty,41.5,Fort Liberty,41.5,100,Y,Fort Liberty,41.5,Fort Liberty,41.5,100,Y,Fort Liberty,41.5,Fort Liberty,41.5,100
