site_name,location,current_part,threshold_miles,regime_added,latitude,longitude,conus,mirta_match
MacDill Air Force Base,"Tampa, FL",1,1,2020,27.843604,-82.501024,Y,MacDill Air Force Base
Marine Corps Air Ground Combat Center Twentynine Palms,"Twentynine Palms, CA",1,1,2020,,,Y,
Marine Corps Air Station Beaufort,"Beaufort, SC",1,1,2020,32.475541,-80.71419,Y,Marine Corps Air Station Beaufort
Marine Corps Air Station Cherry Point,"Cherry Point, NC",1,1,2020,34.9009,-76.8806,Y,MANUAL_COORDS
Marine Corps Air Station Miramar,"San Diego, CA",1,1,2020,32.868422,-117.08678,Y,Marine Corps Air Station Miramar
Marine Corps Air Station New River,"Jacksonville, NC",1,1,2020,34.652714,-77.439431,Y,Marine Corps Air Station New River
Marine Corps Air Station Yuma,"Yuma, AZ",1,1,2020,32.645407,-114.602249,Y,Marine Corps Air Station Yuma
Marine Corps Base Camp Lejeune,"Jacksonville, NC",1,1,2020,34.595837,-77.354072,Y,Marine Corps Base Camp Lejeune
Marine Corps Base Camp Pendleton,"Oceanside, CA",1,1,2020,33.213076,-117.397261,Y,Marine Corps Base Camp Pendleton
Marine Corps Base Hawaii,"Kaneohe Bay, HI",1,1,2020,21.4505,-157.7498,N,MANUAL_COORDS
"Marine Corps Base Hawaii, Camp H.M. Smith","Halawa, HI",1,1,2020,21.386591,-157.905498,N,"Marine Corps Base Hawaii, Camp H.M. Smith"
Marine Corps Base Quantico,"Quantico, VA",1,1,2020,38.558088,-77.477252,Y,Marine Corps Base Quantico
Marine Corps Logistics Base Albany,"Albany, GA",1,1,2024,31.5399,-84.0621,Y,MANUAL_COORDS
Marine Corps Logistics Base Barstow,"Barstow, CA",1,1,2024,34.8694,-116.9561,Y,MANUAL_COORDS
Marine Corps Support Facility Blount Island,"Jacksonville, FL",1,1,2024,30.406,-81.5325,Y,MANUAL_COORDS
Mark Center,"Alexandria, VA",1,1,2020,38.829458,-77.117367,Y,Mark Center
McAlester Army Ammunition Plant,"McAlester, OK",1,1,2024,34.822,-95.9219,Y,MANUAL_COORDS
Military Ocean Terminal Concord,"Concord, CA",1,1,2024,38.0038,-122.0609,Y,MANUAL_COORDS
Military Ocean Terminal Sunny Point,"Brunswick County, NC",1,1,2024,33.9606,-78.0066,Y,MANUAL_COORDS
Minot Air Force Base,"Minot, ND",1,1,2020,48.415358,-101.322743,Y,Minot Air Force Base
Naval Air Station Corpus Christi,"Corpus Christi, TX",1,1,2024,32.553221,-88.569493,Y,Naval Air Station Meridian
Naval Air Station Joint Reserve Base New Orleans,"Belle Chasse, LA",1,1,2020,29.831316,-90.020701,Y,Naval Air Station Joint Reserve Base New Orleans
Naval Air Station Oceana,"Virginia Beach, VA",1,1,2020,36.813726,-76.030985,Y,Naval Air Station Oceana
Naval Air Station Oceana Dam Neck Annex,"Virginia Beach, VA",1,1,2020,36.788788,-75.96572,Y,Naval Air Station Oceana Dam Neck Annex
Naval Air Station Whidbey Island,"Oak Harbor, WA",1,1,2020,48.338803,-122.662021,Y,Naval Air Station Whidbey Island
Naval Base Guam,"Apra Harbor, Guam",1,1,2020,13.428655,144.648549,N,Naval Base Guam
Naval Base Kitsap Bangor,"Silverdale, WA",1,1,2020,47.555771,-122.652079,Y,Naval Base Kitsap – Keyport
Naval Base Point Loma,"San Diego, CA",1,1,2020,32.700942,-117.25067,Y,Naval Base Point Loma
Naval Base San Diego,"San Diego, CA",1,1,2020,32.675704,-117.123009,Y,Naval Base San Diego
Naval Base Ventura County--Port Hueneme Operating Facility,"Port Hueneme, CA",1,1,2020,34.162906,-119.208411,Y,Naval Base Ventura County – Port Hueneme Operating Facility
Naval Logistics Support Activity Ketchikan,"Ketchikan, AK",1,1,2024,38.868271,-86.797132,N,Naval Support Activity Crane
Naval Logistics Support Activity LaMoure,"LaMoure, ND",1,1,2024,28.584091,-81.196796,Y,Naval Support Activity Orlando
Naval Logistics Support Annex Orlando,"Okahumpka, FL",1,1,2024,28.584091,-81.196796,Y,Naval Support Activity Orlando
Naval Logistics Support Facility Aguada,"Aguada, Puerto Rico",1,1,2024,38.339825,-77.032544,N,Naval Support Facility Dahlgren
Naval Logistics Support Facility Cutler,"Cutler, ME",1,1,2024,38.974477,-77.192806,Y,Naval Support Facility Carderock
Naval Research Laboratory,"Washington, DC",1,1,2020,38.824257,-77.024487,Y,Naval Research Laboratory
Naval Research Laboratory--Blossom Point,"Welcome, MD",1,1,2020,38.42182,-77.092251,Y,Naval Research Laboratory – Blossom Point
Naval Research Laboratory--Stennis Space Center,"Hancock County, MS",1,1,2020,30.379522,-89.60267,Y,Naval Research Laboratory – Stennis Space Center
